anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2010,C,C,Rev.4,4,EAE_C1_2010.xls,13,13,13,division_2_digitos,si,Fabricación de productos textiles.,6163987281.006548,,1111010426.8200002,,798119369.4616808,3360.915121091793
2010,C,C,Rev.4,4,EAE_C1_2010.xls,14,14,14,division_2_digitos,si,Fabricación de prendas de vestir.,3040853533.879329,,1247893093.8086123,,840955414.8124318,5739.4262299518905
2010,C,C,Rev.4,4,EAE_C1_2010.xls,15,15,15,division_2_digitos,si,Fabricación de cueros y productos conexos.,7577320543.50558,,1951092645.60603,,1343278600.4323287,4778.933320585866
2010,C,C,Rev.4,4,EAE_C1_2010.xls,16,16,16,division_2_digitos,si,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",5984902131.970272,,1190311497.3256166,,688643677.9062018,3447.6270990632916
2010,C,C,Rev.4,4,EAE_C1_2010.xls,17,17,17,division_2_digitos,si,Fabricación de papel y de los productos de papel.,22995048096.85769,,9619425244.635174,,1042666733.3788725,2446.1886708624315
2010,C,C,Rev.4,4,EAE_C1_2010.xls,18,18,18,division_2_digitos,si,Actividades de impresión y reproducción de grabaciones.,4113883834.7083006,,1833059631.7744763,,1013249744.4162731,3188.9787586715315
2010,C,C,Rev.4,4,EAE_C1_2010.xls,19,19,19,division_2_digitos,si,Fabricación de coque y de productos de la refinación del petróleo.,41162283178.0,,15180150227.0,,1712127200.0,2513.0
2010,C,C,Rev.4,4,EAE_C1_2010.xls,20,20,20,division_2_digitos,si,Fabricación de sustancias y productos químicos.,16467791959.32168,,4709498504.761377,,1986540113.0916102,4469.639084565013
2010,C,C,Rev.4,4,EAE_C1_2010.xls,21,21,21,division_2_digitos,si,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",6921647320.9871645,,3227765672.4842024,,1864932607.9695277,3557.5509017820978
2010,C,C,Rev.4,4,EAE_C1_2010.xls,22,22,22,division_2_digitos,si,Fabricación de productos de caucho y plástico.,9024309425.893496,,2414019372.486005,,1334569172.346716,5018.184229965269
2010,C,C,Rev.4,4,EAE_C1_2010.xls,23,23,23,division_2_digitos,si,Fabricación de otros productos minerales no metálicos.,4275834204.741434,,1517823594.1744685,,757748506.2638655,2449.982165906236
